:ID(Cow),label:STRING,properties_unique:STRING,properties_namespace:STRING,properties__description:STRING,properties__title:STRING,properties__uri:STRING,properties__xsd_type:STRING,properties__identifier:STRING,properties__ontology_level:STRING,properties__html_info:STRING,properties__admin:string,properties__sing:string,properties__pl:string,properties__version:string,properties__comment:string,properties__url:string
0,TBox,False,dcterms,Date of creation of the resource.,created,http://example.org/tbox/created,xsd:dateTimeStamp,,,,,,,,,
1,TBox,False,dcterms,A URI that identifies a party or group who can access the resource or an indication of its security status.,accessrights,http://example.org/tbox/accessrights,xsd:anyURI,,,,,,,,,
24,TBox,,skm,Mother of all knowledge classes.,D4Thing,,,http://example.org/tbox/kbmsthing,upper,Add a new general item that does not have a specific type.,yes,KBMS Thing,KBMS Things,v3.1,,
25,TBox,,prov,An agent is something that bears some form of ,Agent,,,http://example.org/tbox/agent,upper,,yes,Agent,Agents,v6.0,,
26,TBox,,prov,"An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",Activity,,,http://example.org/tbox/activity,upper,,,Activity,Activities,v6.0,,
27,TBox,,prov,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.",Entity,,,http://example.org/tbox/entity,upper,,,Entity,Entities,v6.0,,
70,TBox,,skm,Represents data or digital resources stored outside of the skm system.,Data,,,http://example.org/tbox/data,upper,,,Data,Data,v3.1,,
71,TBox,,skm,A data file in a specified format that is human readable or meant to be read by an external application.,Document,,,http://example.org/tbox/document,upper,"Add a new document to the system to make it available to others. <br/> - Add a title and choose the <span id=""blue"">activity</span>, <span id=""blue"">resources</span> and <span id=""blue"">keywords</span> accordingly. <br/> - Add <span id=""blue"">new keywords</span> you think fit, if needed. <br/> - Add a <span id=""blue"">description</span> and  upload the <span id=""blue"">file</span>itself. <br/> - You are preset as <span id=""blue"">creator</span> of the data, but you can also change it to someone else.",,Document,Documents,v3.1,,
72,TBox,,skm,A specified set of data that is stored in a data store and can be retrieved using a query.,DataSet,,,http://example.org/tbox/dataset,upper,"Add a new document to the system to make it available to others. <br/> - Add a title and choose the <span id=""blue"">activity</span>, <span id=""blue"">resources</span> and <span id=""blue"">keywords</span> accordingly. <br/> - Add <span id=""blue"">new keywords</span> you think fit, if needed. <br/> - Add a <span id=""blue"">description</span> and  upload the <span id=""blue"">file</span>itself. <br/> - You are preset as <span id=""blue"">creator</span> of the data, but you can also change it to someone else.",,Data Set,Data Sets,v3.1,,
73,TBox,,skm,Instructions to locate and access any Data item.,Query,,,http://example.org/tbox/query,upper,,,Query,Queries,v4.0,,
