type,id,label,start__id,start__labels__-,end__id,end__labels__001,properties__level,properties__namespace,properties__description,properties__title,properties__uri,end__labels__002
relationship,0,type_of,2,Abox,110,TBox,,,,,,
relationship,1,type_of,3,Abox,89,TBox,,,,,,
relationship,2,type_of,4,Abox,88,TBox,,,,,,
relationship,3,hasPart,3,Abox,4,Abox,,,,,,
relationship,4,relation,4,Abox,2,Abox,,,,,,
relationship,5,type_of,5,Abox,108,TBox,,,,,,
relationship,6,hasPart,2,Abox,5,Abox,,,,,,
relationship,7,type_of,6,Abox,82,TBox,,,,,,
relationship,8,type_of,7,Abox,82,TBox,,,,,,
relationship,9,type_of,8,Abox,73,TBox,,,,,,
relationship,10,type_of,9,Abox,73,TBox,,,,,,
relationship,11,type_of,10,Abox,73,TBox,,,,,,
relationship,12,type_of,11,Abox,73,TBox,,,,,,
relationship,13,type_of,12,Abox,103,TBox,,,,,,
relationship,14,requires,12,Abox,11,Abox,,,,,,
relationship,15,wasGeneratedBy,12,Abox,6,Abox,,,,,,
relationship,16,wasAssociatedWith,6,Abox,5,Abox,,,,,,
relationship,17,type_of,13,Abox,102,TBox,,,,,,
relationship,18,type_of,14,Abox,81,TBox,,,,,,
relationship,19,type_of,15,Abox,76,TBox,,,,,,
relationship,20,wasAssociatedWith,14,Abox,15,Abox,,,,,,
relationship,21,wasAssociatedWith,7,Abox,15,Abox,,,,,,
relationship,22,requires,13,Abox,10,Abox,,,,,,
relationship,23,wasGeneratedBy,13,Abox,7,Abox,,,,,,
relationship,24,type_of,16,Abox,80,TBox,,,,,,
relationship,25,used,16,Abox,13,Abox,,,,,,
relationship,26,wasAssociatedWith,16,Abox,15,Abox,,,,,,
relationship,27,hasPart,14,Abox,7,Abox,,,,,,
relationship,28,wasAssociatedWith,7,Abox,3,Abox,,,,,,
relationship,29,type_of,17,Abox,95,TBox,,,,,,
relationship,30,type_of,18,Abox,72,TBox,,,,,,
relationship,31,subclass_of,25,TBox,24,TBox,,,,,,
relationship,32,subclass_of,26,TBox,24,TBox,,,,,,
relationship,33,subclass_of,27,TBox,24,TBox,,,,,,
relationship,34,subclass_of,70,TBox,27,TBox,,,,,,
relationship,35,subclass_of,71,TBox,70,TBox,,,,,,
relationship,36,subclass_of,72,TBox,70,TBox,,,,,,
relationship,37,subclass_of,73,TBox,70,TBox,,,,,,
relationship,38,type_of,19,Abox,79,TBox,,,,,,
relationship,39,type_of,20,Abox,111,TBox,,,,,,
relationship,40,wasAssociatedWith,19,Abox,20,Abox,,,,,,
relationship,41,used,19,Abox,17,Abox,,,,,,
relationship,42,wasGeneratedBy,18,Abox,19,Abox,,,,,,
relationship,43,requires,18,Abox,9,Abox,,,,,,
relationship,44,used,19,Abox,12,Abox,,,,,,
relationship,45,wasGeneratedBy,17,Abox,16,Abox,,,,,,
relationship,46,requires,17,Abox,8,Abox,,,,,,
relationship,47,type_of,21,Abox,85,TBox,,,,,,
relationship,48,type_of,22,Abox,86,TBox,,,,,,
relationship,49,type_of,23,Abox,101,TBox,,,,,,
relationship,50,type_of,28,Abox,83,TBox,,,,,,
relationship,51,type_of,29,Abox,95,TBox,,,,,,
relationship,52,type_of,30,Abox,77,TBox,,,,,,
relationship,53,used,21,Abox,12,Abox,,,,,,
relationship,54,type_of,31,Abox,93,TBox,,,,,,
relationship,55,wasAssociatedWith,21,Abox,31,Abox,,,,,,
relationship,56,wasAssociatedWith,22,Abox,31,Abox,,,,,,
relationship,57,used,22,Abox,23,Abox,,,,,,
relationship,58,wasGeneratedBy,23,Abox,28,Abox,,,,,,
relationship,59,used,28,Abox,29,Abox,,,,,,
relationship,60,wasassociatedWith,28,Abox,30,Abox,,,,,,
relationship,61,requires,29,Abox,9,Abox,,,,,,
