:START_ID,:TYPE,label:string,start__labels:string,:END_ID,end__labels__001:string,properties__level:string,properties__namespace:string,properties__description:string,properties__title,properties__uri,end__labels__002
2,relationship,type_of,Abox,110,TBox,,,,,,
3,relationship,type_of,Abox,89,TBox,,,,,,
4,relationship,type_of,Abox,88,TBox,,,,,,
3,relationship,hasPart,Abox,4,Abox,,,,,,
4,relationship,relation,Abox,2,Abox,,,,,,
5,relationship,type_of,Abox,108,TBox,,,,,,
2,relationship,hasPart,Abox,5,Abox,,,,,,
6,relationship,type_of,Abox,82,TBox,,,,,,
7,relationship,type_of,Abox,82,TBox,,,,,,
8,relationship,type_of,Abox,73,TBox,,,,,,
9,relationship,type_of,Abox,73,TBox,,,,,,
10,relationship,type_of,Abox,73,TBox,,,,,,
11,relationship,type_of,Abox,73,TBox,,,,,,
12,relationship,type_of,Abox,103,TBox,,,,,,
12,relationship,requires,Abox,11,Abox,,,,,,
12,relationship,wasGeneratedBy,Abox,6,Abox,,,,,,
6,relationship,wasAssociatedWith,Abox,5,Abox,,,,,,
13,relationship,type_of,Abox,102,TBox,,,,,,
14,relationship,type_of,Abox,81,TBox,,,,,,
15,relationship,type_of,Abox,76,TBox,,,,,,
14,relationship,wasAssociatedWith,Abox,15,Abox,,,,,,
7,relationship,wasAssociatedWith,Abox,15,Abox,,,,,,
13,relationship,requires,Abox,10,Abox,,,,,,
13,relationship,wasGeneratedBy,Abox,7,Abox,,,,,,
16,relationship,type_of,Abox,80,TBox,,,,,,
16,relationship,used,Abox,13,Abox,,,,,,
16,relationship,wasAssociatedWith,Abox,15,Abox,,,,,,
14,relationship,hasPart,Abox,7,Abox,,,,,,
7,relationship,wasAssociatedWith,Abox,3,Abox,,,,,,
17,relationship,type_of,Abox,95,TBox,,,,,,
18,relationship,type_of,Abox,72,TBox,,,,,,
25,relationship,subclass_of,TBox,24,TBox,,,,,,
26,relationship,subclass_of,TBox,24,TBox,,,,,,
27,relationship,subclass_of,TBox,24,TBox,,,,,,
70,relationship,subclass_of,TBox,27,TBox,,,,,,
71,relationship,subclass_of,TBox,70,TBox,,,,,,
72,relationship,subclass_of,TBox,70,TBox,,,,,,
73,relationship,subclass_of,TBox,70,TBox,,,,,,
19,relationship,type_of,Abox,79,TBox,,,,,,
20,relationship,type_of,Abox,111,TBox,,,,,,
19,relationship,wasAssociatedWith,Abox,20,Abox,,,,,,
19,relationship,used,Abox,17,Abox,,,,,,
18,relationship,wasGeneratedBy,Abox,19,Abox,,,,,,
18,relationship,requires,Abox,9,Abox,,,,,,
19,relationship,used,Abox,12,Abox,,,,,,
17,relationship,wasGeneratedBy,Abox,16,Abox,,,,,,
17,relationship,requires,Abox,8,Abox,,,,,,
21,relationship,type_of,Abox,85,TBox,,,,,,
22,relationship,type_of,Abox,86,TBox,,,,,,
23,relationship,type_of,Abox,101,TBox,,,,,,
28,relationship,type_of,Abox,83,TBox,,,,,,
29,relationship,type_of,Abox,95,TBox,,,,,,
30,relationship,type_of,Abox,77,TBox,,,,,,
21,relationship,used,Abox,12,Abox,,,,,,
