":START_ID(Cow)","label:STRING","start_labels:STRING",":END_ID(Cow)","end_labels_001:STRING","properties_level:STRING","properties_namespace:STRING","properties_description:STRING","properties_title:STRING","properties_uri:STRING","end_labels_002:STRING"
"2","type_of","Abox","110","TBox","","","","","",""
"3","type_of","Abox","89","TBox","","","","","",""
"4","type_of","Abox","88","TBox","","","","","",""
"3","hasPart","Abox","4","Abox","","","","","",""
"4","relation","Abox","2","Abox","","","","","",""
"5","type_of","Abox","108","TBox","","","","","",""
"2","hasPart","Abox","5","Abox","","","","","",""
"6","type_of","Abox","82","TBox","","","","","",""
"7","type_of","Abox","82","TBox","","","","","",""
"8","type_of","Abox","73","TBox","","","","","",""
"9","type_of","Abox","73","TBox","","","","","",""
"10","type_of","Abox","73","TBox","","","","","",""
"11","type_of","Abox","73","TBox","","","","","",""
"12","type_of","Abox","103","TBox","","","","","",""
"12","requires","Abox","11","Abox","","","","","",""
"12","wasGeneratedBy","Abox","6","Abox","","","","","",""
"6","wasAssociatedWith","Abox","5","Abox","","","","","",""
"13","type_of","Abox","102","TBox","","","","","",""
"14","type_of","Abox","81","TBox","","","","","",""
"15","type_of","Abox","76","TBox","","","","","",""
"14","wasAssociatedWith","Abox","15","Abox","","","","","",""
"7","wasAssociatedWith","Abox","15","Abox","","","","","",""
"13","requires","Abox","10","Abox","","","","","",""
"13","wasGeneratedBy","Abox","7","Abox","","","","","",""
"16","type_of","Abox","80","TBox","","","","","",""
"16","used","Abox","13","Abox","","","","","",""
"16","wasAssociatedWith","Abox","15","Abox","","","","","",""
"14","hasPart","Abox","7","Abox","","","","","",""
"7","wasAssociatedWith","Abox","3","Abox","","","","","",""
"17","type_of","Abox","95","TBox","","","","","",""
"18","type_of","Abox","72","TBox","","","","","",""
"25","subclass_of","TBox","24","TBox","","","","","",""
"26","subclass_of","TBox","24","TBox","","","","","",""
"27","subclass_of","TBox","24","TBox","","","","","",""
"70","subclass_of","TBox","27","TBox","","","","","",""
"71","subclass_of","TBox","70","TBox","","","","","",""
